keys,zh_CN,en
"本次送行者：雨宫纱夜，九岁。山社巫女。签选。家不得辞。","本次送行者：雨宫纱夜，九岁。山社巫女。签选。家不得辞。","This send-off: Amemiya Sayo, age nine. Shrine miko. Chosen by lot. Family may not refuse."
"本社到了。","本社到了。","We’ve reached the main shrine."
"本社的灯一盏接一盏亮起。雨声退到屋檐外。","本社的灯一盏接一盏亮起。雨声退到屋檐外。","The shrine lamps light one after another. Rain retreats beyond the eaves."
"本社的灯亮了一点，白狐的影子出现在参道尽头。","本社的灯亮了一点，白狐的影子出现在参道尽头。","The shrine lights brighten a little. The white fox’s shadow appears at the end of the approach."
"札记","札记","Notes"
"杉木","杉木","Sugi wood"
"杉木为轿。白□覆身。蓬草盖顶，以遮人气。","杉木为轿。白□覆身。蓬草盖顶，以遮人气。","Sugi wood as the palanquin. White □ covers the body. Mugwort covers the top, to hide human breath."
"杉木很沉，砍口渗着冷水。旧规说，它是祭坛的底。","杉木很沉，砍口渗着冷水。旧规说，它是祭坛的底。","The sugi wood is heavy. Cold water seeps from its cut. The old rules say it is the altar’s base."
"杉木斜搭在石台边。你踩上去，木头在雾里闷响。","杉木斜搭在石台边。你踩上去，木头在雾里闷响。","Sugi wood leans against the stone platform. When you step onto it, the wood thuds dully in the fog."
"村口的灯一盏盏熄了。","村口的灯一盏盏熄了。","At the village entrance, the lamps go out one by one."
"村口的石灯一盏盏熄灭。","村口的石灯一盏盏熄灭。","The stone lanterns at the village entrance go out one by one."
"村里人说，迎狐之仪完成了。","村里人说，迎狐之仪完成了。","The villagers say the rite is complete."
"来了就好。昨晚山路又开始鬼打墙。","来了就好。昨晚山路又开始鬼打墙。","Good. You’re here. Last night the mountain road started looping again."
"查看内殿档案","查看内殿档案","Read the inner hall record"
"查看回廊竹简","查看回廊竹简","Read the corridor slip"
"查看旧木额","查看旧木额","Read the old plaque"
"查看线索","查看线索","View clue"
"查看装束札","查看装束札","Read the garment note"
"次年重修神社。村中改称此仪为「迎狐」。旧称自此不再记于木额。","次年重修神社。村中改称此仪为「迎狐」。旧称自此不再记于木额。","The next year the shrine is rebuilt. The village renames the rite “Welcoming the Fox.” The old name is never written on the plaque again."
"残损告示","残损告示","Damaged notice"
"水边草，触感发凉。可让狐火慢下来。","水边草，触感发凉。可让狐火慢下来。","Waterside grass—cool to the touch. It can slow the foxfire."
"沉水杉木。湿得发重，可以承住断路。","沉水杉木。湿得发重，可以承住断路。","Waterlogged sugi wood. Heavy with wet—it can support a broken path."
"没有人提起纱夜。","没有人提起纱夜。","No one speaks of Sayo."
"清水草","清水草","Water grass"
"清水草贴着掌心，凉得像井底的水，似乎能熄灭一切烈焰。，莫名躁动的心一瞬间静下来，","清水草贴着掌心，凉得像井底的水，似乎能熄灭一切烈焰。，莫名躁动的心一瞬间静下来，","The water grass chills your palm like well-bottom water. It feels like it could smother any blaze. Your nameless agitation stills in an instant."
"火石的气味还留在手上。白狐跑得很快，始终没有回头","火石的气味还留在手上。白狐跑得很快，始终没有回头","The smell of the firestone still clings to your hands. The white fox runs fast—never once turning back."
"火纹猛地亮起，供桌边缘冒出焦味。","火纹猛地亮起，供桌边缘冒出焦味。","The fire patterns flare bright, and a scorched smell rises from the edge of the offering table."
"灯芯油","灯芯油","Lamp oil"
"狐上山，不回头。若回头，莫唤名。","狐上山，不回头。若回头，莫唤名。","The fox goes up the mountain, never looking back. If it looks back—do not call its name."
"狐位者，生身入位，化狐守灯，镇山路与旧病。若至亲呼名，狐位松动；狐位一空，诸灾复归。","狐位者，生身入位，化狐守灯，镇山路与旧病。若至亲呼名，狐位松动；狐位一空，诸灾复归。","A fox-seat is a living body set into place—becoming a fox to guard the lamp, to hold down the mountain road and the old sickness. If a loved one calls the name, the seat loosens; if the seat is empty, calamity returns."
"狐火在前方跳动，照出断裂的石阶和积水。","狐火在前方跳动，照出断裂的石阶和积水。","Foxfire dances ahead, lighting broken stone steps and pooled rainwater."
"狐火将熄，速速归去。","狐火将熄，速速归去。","The foxfire is dying—hurry and return."
"狐火未归","狐火未归","Foxfire Unreturned"
"狐火猛地照亮两侧石像。白狐的影子被拉长，像是披着宽袖踽踽前行。","狐火猛地照亮两侧石像。白狐的影子被拉长，像是披着宽袖踽踽前行。","Foxfire suddenly lights the stone statues on both sides. The white fox’s shadow stretches long, trudging as if draped in wide sleeves."
"狐火石","狐火石","Foxfire stone"
"狐火贴近木面。剩余的金漆起泡，一点点自行剥落。","狐火贴近木面。剩余的金漆起泡，一点点自行剥落。","Foxfire presses close to the wood. The remaining gold paint blisters and peels away, bit by bit, on its own."
"白*一领。童身用。袖口束紧。","白*一领。童身用。袖口束紧。","One white * robe. For a child. Sleeves cinched tight."
"白　附身","白　附身","White  over the body"
"白毛","白毛","White fur"
"白狐从火光里走出。它跑得很急，像被什么东西催促前行。","白狐从火光里走出。它跑得很急，像被什么东西催促前行。","The white fox steps out of the firelight. It runs in frantic haste, as if urged on by something unseen."
"白狐从鸟居后走出。它没有靠近，只看了你一眼。眼睛湿得发亮。","白狐从鸟居后走出。它没有靠近，只看了你一眼。眼睛湿得发亮。","The white fox walks out from behind the torii. It doesn’t come closer—only looks at you once, eyes wet and shining."
"白狐停下。狐火从她身上剥落，白衣从火里显出来。","白狐停下。狐火从她身上剥落，白衣从火里显出来。","The white fox stops. Foxfire peels away from her body, and white cloth shows through the flame."
"白狐出现在长明灯前。灯下的石板渗着水。","白狐出现在长明灯前。灯下的石板渗着水。","The white fox appears before the eternal lamp. The stone beneath it seeps with water."
"白狐回头时，童谣不让我叫的，都是这个名字。","白狐回头时，童谣不让我叫的，都是这个名字。","When the white fox looks back, the name the rhyme forbids me to speak is this one."
"白狐没有回头。狐火在门后等你。","白狐没有回头。狐火在门后等你。","The white fox doesn’t look back. Foxfire waits for you beyond the gate."
"白狐沿着断参道往上走。湿草擦过它的脚。","白狐沿着断参道往上走。湿草擦过它的脚。","The white fox walks up along the broken approach. Wet grass brushes its feet."
"白狐的耳朵动了一下。它听见了。","白狐的耳朵动了一下。它听见了。","The white fox’s ear twitches. It heard you."
"白狐等了一会儿，转身走进长明灯后。灯油落下一滴。","白狐等了一会儿，转身走进长明灯后。灯油落下一滴。","The white fox waits a moment, then turns and walks behind the eternal lamp. A drop of lamp oil falls."
"白狐身份：送行者：雨宫纱夜","白狐身份：送行者：雨宫纱夜","White fox identity: the one sent off — Amemiya Sayo"
"白狐身份：雨宫纱夜","白狐身份：雨宫纱夜","White fox identity: Amemiya Sayo"
"白狐身份：？","白狐身份：？","White fox identity: ?"
"白色供物：木牌称作白狐毛","白色供物：木牌称作白狐毛","White offering: the placard calls it “white fox fur”"
"白色供物：白□附身","白色供物：白□附身","White offering: white □ over the body"
"白色供物：白衣","白色供物：白衣","White offering: white robe"
"白色纤维摊开时，盖住了中间那层影子。","白色纤维摊开时，盖住了中间那层影子。","As the white fiber spreads out, it covers the shadow in the middle layer."
"白衣附身","白衣附身","White robe over the body"
"看来供物不只可以祭坛上用，也能修这条迎狐归位的路。","看来供物不只可以祭坛上用，也能修这条迎狐归位的路。","So offerings aren’t only for the altar—they can also be used to repair the road that returns the fox to its post."
"砍杉木","砍杉木","Chop sugi wood"
"社中择送行者一名。白衣覆身，于子时送至本社。","社中择送行者一名。白衣覆身，于子时送至本社。","The shrine chooses one to be sent off. White is placed over the body, and at the hour of the Rat they are delivered to the main shrine."
"祠后的纸门轻响。门缝里没有风。","祠后的纸门轻响。门缝里没有风。","The paper door behind the shrine rustles softly. There is no wind in the crack."
"祭坛","祭坛","Altar"
"空","空","Empty"
"童谣","童谣","Nursery rhyme"
"第一章  装束之祠","第一章  装束之祠","Chapter 1  Shrine of Garments"
"第二座祭坛接住了供物。石面渗出水。","第二座祭坛接住了供物。石面渗出水。","The second altar receives the offering. Water seeps from the stone."
"第二章  断参道","第二章  断参道","Chapter 2  Broken Approach"
"箱里放着一束白色纤维，箱子上刻着「白毛」，边缘却压得很平，潮了也不会打卷。","箱里放着一束白色纤维，箱子上刻着「白毛」，边缘却压得很平，潮了也不会打卷。","A bundle of white fiber lies in the chest. The lid is carved with “white fur,” yet the edges are pressed flat—so flat they won’t curl even when damp."
"箱里的白色纤维叠得很整齐。边缘有一排细小针孔，摸上去硬硬的。","箱里的白色纤维叠得很整齐。边缘有一排细小针孔，摸上去硬硬的。","The white fiber in the chest is folded neatly. Along the edge is a row of tiny needle holes; it feels stiff to the touch."
"纱夜","纱夜","Sayo"
"纱夜的手很冷。","纱夜的手很冷。","Sayo’s hand is cold."
"纸上写着白，后面的字被框住了。","纸上写着白，后面的字被框住了。","The paper says “white,” but the next character is boxed out."
"纸片上的遮挡松开了。","纸片上的遮挡松开了。","The cover on the scrap has come loose."
"纸门上的影子被灯火拉长，狐尾变成袖摆，耳尖变成发结。","纸门上的影子被灯火拉长，狐尾变成袖摆，耳尖变成发结。","In the lamplight, the shadow on the paper door stretches long—fox tail becoming sleeve, ear tips becoming hair ties."
"终章  本社・维持的空壳","终章  本社・维持的空壳","Final Chapter  Main Shrine · A Maintained Shell"
"继续放大狐火","继续放大狐火","Keep fanning the foxfire"
"老人","老人","Elder"
"老人把黑漆御供筒递给你。筒身冰冷，漆面沾着水，边上刻着细小的狐纹。","老人把黑漆御供筒递给你。筒身冰冷，漆面沾着水，边上刻着细小的狐纹。","The elder hands you a black-lacquer offering tube. The tube is cold; the lacquer slick with water, etched at the edge with tiny fox patterns."
"老人转过身，又记起来什么的样子，沙哑的声音悠悠传来，在山谷中回响","老人转过身，又记起来什么的样子，沙哑的声音悠悠传来，在山谷中回响","The elder turns away, as if recalling something. His hoarse voice drifts back, echoing through the valley."
"至少别再催它了。","至少别再催它了。","At least stop pushing it."
"若有什么不懂，按照山上的木牌做，千万别做错了。","若有什么不懂，按照山上的木牌做，千万别做错了。","If anything confuses you, follow the wooden placards on the mountain. Whatever you do—don’t get it wrong."
"蓝火低下去，白狐的脚步慢下来，身子蜷缩起来，恍惚间好似学步小童。","蓝火低下去，白狐的脚步慢下来，身子蜷缩起来，恍惚间好似学步小童。","The blue flame sinks low. The white fox slows, curling in on itself—like a small child learning to walk, in a daze."
"蓬草","蓬草","Mugwort"
"蓬草味很浓，碰过的指尖都是苦的，似乎能压抑活物气息。","蓬草味很浓，碰过的指尖都是苦的，似乎能压抑活物气息。","Mugwort reeks strong. Your fingertips taste bitter after touching it. It seems able to smother the breath of living things."
"衣箱残签","衣箱残签","Garment chest tag"
"表面的金漆写着「迎狐之仪」。","表面的金漆写着「迎狐之仪」。","The surface gold paint reads: “Rite of Welcoming the Fox.”"
"装束之祠","装束之祠","Shrine of Garments"
"装束札","装束札","Garment note"
"装束札也缺了同一处，像是有人故意留下一个空格。","装束札也缺了同一处，像是有人故意留下一个空格。","The garment note is missing the same part—like someone deliberately left a blank."
"要叫出她的名字吗？","要叫出她的名字吗？","Call her name?"
"见习巫女","见习巫女","Apprentice Miko"
"调查笔记","调查笔记","Investigation Notes"
"路能过了，但御供筒也空了一格。","路能过了，但御供筒也空了一格。","The path is passable—but the offering tube is missing one more slot."
"迎狐之仪","迎狐之仪","Rite of Welcoming the Fox"
"迎狐是后来印上去的字，原来这个仪式是送行，为什么是送，要送什么？","迎狐是后来印上去的字，原来这个仪式是送行，为什么是送，要送什么？","“Welcoming the Fox” was stamped on later. So this rite was a send-off—why a send-off? What was being sent?"
"还差最后一道顶礼。清水草压火，灯芯油添火。","还差最后一道顶礼。清水草压火，灯芯油添火。","Only the last bow remains: water grass to press the fire down, lamp oil to feed it."
"这里没有倒塌。灯笼、回廊和纸门都摆得很整齐。","这里没有倒塌。灯笼、回廊和纸门都摆得很整齐。","Nothing here has collapsed. The lanterns, corridors, and paper doors are all set in perfect order."
"连带着你的记忆模糊不清，世间无人再记得那个名字。","连带着你的记忆模糊不清，世间无人再记得那个名字。","Along with it, your own memories blur—until no one in the world remembers that name."
"退出","退出","Quit"
"送*之仪","送*之仪","Rite of Sending*"
"送狐","送狐","Okuri Kitsune"
"送狐之仪","送狐之仪","Rite of Sending the Fox"
"送行后，名册除名。村中不得呼其名。家人不得回望。","送行后，名册除名。村中不得呼其名。家人不得回望。","After the send-off, the name is struck from the registry. No one in the village may speak it. Family may not look back."
"送行后，狐神归位，再不得呼其名。","送行后，狐神归位，再不得呼其名。","After the send-off, the fox deity returns to its post. The name must never be spoken again."
"送行者……送的是人？为什么要送人进神社？","送行者……送的是人？为什么要送人进神社？","A send-off... sending a person? Why send a person into the shrine?"
"送行者是雨宫纱夜。","送行者是雨宫纱夜。","The one sent off was Amemiya Sayo."
"选择","选择","Choice"
"选择顶礼供物","选择顶礼供物","Choose the final offering"
"遮住的字露了出来。","遮住的字露了出来。","The covered character is revealed."
"那影子……不像狐。","那影子……不像狐。","That shadow... doesn’t look like a fox."
"采蓬草","采蓬草","Harvest mugwort"
"采集","采集","Collect"
"铃声回荡在山间，远处传来石头转动的声音。","铃声回荡在山间，远处传来石头转动的声音。","The bell echoes through the mountains. Far away comes the sound of stone turning."
"铃声很远，从山上的雾里落下来。","铃声很远，从山上的雾里落下来。","The bell is distant, falling down from the mountain fog."
"铃声渐止，请慢些归去。","铃声渐止，请慢些归去。","As the bell fades, please return more slowly."
"铃声让它安静了些。可是它还是不愿靠近我。","铃声让它安静了些。可是它还是不愿靠近我。","The bell calmed it a little. But it still won’t come near me."
"铃绳","铃绳","Bell rope"
"铃绳已经拉过了。","铃绳已经拉过了。","The bell rope has already been pulled."
"镇静，安抚","镇静，安抚","Calm it. Soothe it."
"长明灯照见一个穿白衣的孩子。","长明灯照见一个穿白衣的孩子。","In the eternal lamp’s light stands a child in white."
"陈旧的木匾被潮气浸润，侵蚀了金漆，用狐火靠近查看，泡软的金漆斑驳","陈旧的木匾被潮气浸润，侵蚀了金漆，用狐火靠近查看，泡软的金漆斑驳","The old wooden plaque is soaked with damp, its gold paint eroded. Up close by foxfire, the softened gold is mottled and flaking."
"雨宫……","雨宫……","Amemiya..."
"雨宫纱夜。","雨宫纱夜。","Amemiya Sayo."
"雨宫纱夜，这是姐姐的名字。","雨宫纱夜，这是姐姐的名字。","Amemiya Sayo. That’s my sister’s name."
"雨损纸条","雨损纸条","Rain-damaged note"
"需要杉木","需要杉木","Need sugi wood"
"顶","顶","Top"
"高台太远。要用杉木搭过去。","高台太远。要用杉木搭过去。","The platform is too far. You need sugi wood to bridge the gap."
"高处的蓬草湿得发冷。揉开以后，苦味盖过了一切气味。","高处的蓬草湿得发冷。揉开以后，苦味盖过了一切气味。","The mugwort up high is wet and cold. Once crushed, its bitterness overwhelms every other scent."
"Game Over","Game Over","Game Over"
"v","v","v"
"完成送狐。
村庄恢复平静，白狐留在本社。","完成送狐。
村庄恢复平静，白狐留在本社。","Complete the send-off.
The village returns to peace, and the white fox remains in the shrine."
"叫她回来。
狐位松动，村庄失去镇压，
疫情肆虐，洪水席卷一切。","叫她回来。
狐位松动，村庄失去镇压，
疫情肆虐，洪水席卷一切。","Call her back.
The fox-seat loosens, the village loses its seal.
Plague rages, and floodwaters swallow everything."
"狐上山，不回头。
若回头，莫唤名。
人名入狐耳，山灯不长明。","狐上山，不回头。
若回头，莫唤名。
人名入狐耳，山灯不长明。","The fox goes up the mountain, never looking back.
If it looks back, do not call its name.
If a human name reaches a fox’s ear, the mountain lamps will not burn long."
"装束供物三件。
杉木为底。
白毛覆身。
蓬草盖顶。","装束供物三件。
杉木为底。
白毛覆身。
蓬草盖顶。","Three garment offerings.
Sugi wood as the base.
White fur over the body.
Mugwort as the cover."
"装束顺序。
杉木为台。
白□覆身。
蓬草盖顶。","装束顺序。
杉木为台。
白□覆身。
蓬草盖顶。","Garment order.
Sugi wood as the platform.
White □ over the body.
Mugwort as the cover."
